P_S02_SerialNumber,P_S02_InvItemId
44660417324150000-100,42171
44660417315150000-100,3647
44660417315150000-100,42171
44660417325150000-100,3647
44660417325150000-100,42171
44660417326150000-100,3647
44660417326150000-100,42171
44660417317150000-100,3647
44660417327150000-100,3647
44660417327150000-100,42171
44660417318150000-100,3647
44660417318150000-100,42171
44660417328150000-100,3647
44660417328150000-100,42171
44660417319150000-100,3647
44660417319150000-100,42171
404706024027060000-100,8305
404706024027060000-100,7281
92130185696870000-100,4848
44451195524201000-100,42174
44451195524201000-100,3282
44451185809201000-100,42174
44451185809201000-100,3282
44451107522211000-100,42174
44451107522211000-100,3282
44451107306211000-100,4464
44451107306211000-100,42174
44451107327211000-100,4464
44451107327211000-100,42174
44451117320241000-100,21022
44451113802241000-100,42174
44451113802241000-100,3282
44451117312241000-100,42174
44451117312241000-100,3282
44451114023241000-100,21022
44451113924241000-100,42174
44451113924241000-100,3282
44451117306241000-100,42174
44451117306241000-100,3282
44660417320151000-100,3647
44660417312151000-100,3647
44660417312151000-100,42171
44660417313151000-100,3647
44660417313151000-100,42171
44451195524202000-100,42174
44451195524202000-100,3282
44451195318202000-100,42174
44451195318202000-100,3282
44451107510212000-100,4464
44451107510212000-100,42174
44451107511212000-100,4464
44451107511212000-100,42174
44451107523212000-100,42174
44451107523212000-100,3282
44451117320242000-100,21022
44451117312242000-100,42174
44451117312242000-100,3282
44451114023242000-100,21022
44451117306242000-100,42174
44451117306242000-100,3282
44451113919242000-100,42174
44451113919242000-100,3282
44454303728152000-100,3647
44454303728152000-100,42171
94457295446672000-100,1036
44451113922243000-100,42174
44451113922243000-100,3282
44451117305243000-100,21022
44451114015243000-100,21022
44739275520304000-100,6347
44739275520304000-100,3560
44739275517304000-100,6347
44739275517304000-100,3560
44739275519304000-100,6347
44739275519304000-100,3560
44739308010354000-100,5248
44739307621354000-100,5248
44739307722354000-100,5248
44739308004354000-100,5248
44739307406354000-100,5248
44739308007354000-100,5248
44739308009354000-100,5248
404479485525015000-100,8728
404479485525015000-100,2299
42197014024100100-100,6514
94456585359120100-100,1036
44660417320150100-100,3647
44660417320150100-100,42171
44660414021150100-100,3647
44660414021150100-100,42171
44660417321150100-100,3647
44660417321150100-100,42171
44660417312150100-100,3647
44660417313150100-100,3647
44660417313150100-100,42171
44660417324150100-100,3647
44660417326150100-100,3647
44660417326150100-100,42171
44660417317150100-100,3647
44660417317150100-100,42171
44660417327150100-100,3647
44660417327150100-100,42171
44660417318150100-100,3647
44660417318150100-100,42171
44660417319150100-100,3647
44660417319150100-100,42171
44451185322201100-100,42174
44451185322201100-100,3282
44451107530211100-100,42174
44451107530211100-100,3282
44451107314211100-100,42174
44451107314211100-100,3282
44451107724211100-100,42174
44451107724211100-100,3282
44451107416211100-100,4464
44451107416211100-100,42174
44451117320241100-100,42174
44451117320241100-100,3282
44451113802241100-100,42174
44451113802241100-100,3282
44451117312241100-100,42174
44451117312241100-100,3282
44451113812241100-100,42174
44451113812241100-100,3282
44451113815241100-100,42174
44451113815241100-100,3282
44660417320151100-100,3647
44660417320151100-100,42171
44660417321151100-100,3647
44660417321151100-100,42171
44660417312151100-100,3647
44660417312151100-100,42171
44660417313151100-100,3647
44660414023151100-100,3647
44660414023151100-100,42171
44660417314151100-100,3647
44660417317151100-100,3647
44660417317151100-100,42171
44660417318151100-100,3647
44660417318151100-100,42171
44451103804202100-100,42174
44451103804202100-100,3282
44451107523212100-100,42174
44451107523212100-100,3282
44451107314212100-100,42174
44451107314212100-100,3282
44451117312242100-100,42174
44451117312242100-100,3282
44660404015152100-100,3647
44660404015152100-100,42171
44739275519304100-100,6347
44739275519304100-100,3560
44739308003354100-100,5248
44739307723354100-100,5248
44739313715354100-100,5248
44739307408354100-100,5248
42197017317100200-100,6514
94456585359230200-100,1036
44660417320150200-100,3647
44660417320150200-100,42171
44660414021150200-100,3647
44660414021150200-100,42171
44660417321150200-100,3647
44660417321150200-100,42171
44660417312150200-100,3647
44660417313150200-100,3647
44660417313150200-100,42171
44660417324150200-100,3647
44660417317150200-100,3647
44660417327150200-100,3647
44660417327150200-100,42171
44660417318150200-100,3647
44660417318150200-100,42171
44660417319150200-100,3647
44660417319150200-100,42171
44660417320151200-100,3647
44660417320151200-100,42171
44660417311151200-100,3647
44660417321151200-100,3647
44660417321151200-100,42171
44660417312151200-100,3647
44660417312151200-100,42171
44660417313151200-100,3647
44660417313151200-100,42171
44660417314151200-100,3647
44660417318151200-100,3647
44660417318151200-100,42171
44739307430354200-100,5248
44739308003354200-100,5248
42197017317100300-100,6514
44660417723220300-100,3647
44660417723220300-100,42171
44660417320150300-100,3647
44660417320150300-100,42171
44660417321150300-100,3647
44660417321150300-100,42171
44660417421150300-100,3647
44660417421150300-100,42171
44660417312150300-100,3647
44660417313150300-100,3647
44660417313150300-100,42171
44660417324150300-100,3647
44660417324150300-100,42171
44660417317150300-100,3647
44660417317150300-100,42171
44660417327150300-100,3647
44660417327150300-100,42171
44660417318150300-100,3647
44660417318150300-100,42171
44660417319150300-100,3647
44660417319150300-100,42171
44660417506180300-100,3647
44660417506180300-100,42171
44018903906101300-100,1063
44660417320151300-100,3647
44660417320151300-100,42171
44660417321151300-100,3647
44660417321151300-100,42171
44660417313151300-100,3647
44660417314151300-100,3647
44660417317151300-100,3647
44660417318151300-100,3647
44660417318151300-100,42171
44660417723220400-100,3647
44660417723220400-100,42171
44660417321150400-100,3647
44660417321150400-100,42171
44660417421150400-100,3647
44660417421150400-100,42171
44660417312150400-100,3647
44660417312150400-100,42171
44660417313150400-100,3647
44660417313150400-100,42171
44660417324150400-100,3647
44660417324150400-100,42171
44660417317150400-100,3647
44660417317150400-100,42171
44660417319150400-100,3647
44660417319150400-100,42171
44660417320151400-100,3647
44660417320151400-100,42171
44660417321151400-100,3647
44660417314151400-100,3647
44660417314151400-100,42171
44660417318151400-100,3647
44660417318151400-100,42171
44660417320150500-100,3647
44660417320150500-100,42171
44660417321150500-100,3647
44660417321150500-100,42171
44660417312150500-100,3647
44660417312150500-100,42171
44660417313150500-100,3647
44660417313150500-100,42171
44660417324150500-100,3647
44660417324150500-100,42171
44660417317150500-100,3647
44660417317150500-100,42171
44660417318150500-100,3647
44660417318150500-100,42171
44660417320151500-100,3647
44660417320151500-100,42171
44660417311151500-100,3647
44660417422151500-100,3647
44660417422151500-100,42171
44660417314151500-100,3647
44660417318151500-100,3647
44660417318151500-100,42171
44660417320150600-100,3647
44660417320150600-100,42171
44660417321150600-100,3647
44660417321150600-100,42171
44660417421150600-100,3647
44660417421150600-100,42171
44660417312150600-100,3647
44660417312150600-100,42171
44660417313150600-100,3647
44660417313150600-100,42171
44660417324150600-100,3647
44660417324150600-100,42171
44660417317150600-100,3647
44660417317150600-100,42171
44660417318150600-100,3647
44660417318150600-100,42171
44660417311151600-100,3647
44660417311151600-100,42171
44660417314151600-100,3647
44660417318151600-100,3647
44660417318151600-100,42171
44660417320150700-100,3647
44660417320150700-100,42171
44660417321150700-100,3647
44660417321150700-100,42171
44660417502150700-100,3647
44660417502150700-100,42171
44660417313150700-100,3647
44660417313150700-100,42171
44660417317150700-100,3647
44660417317150700-100,42171
44660417318150700-100,3647
44660417318150700-100,42171
44660417314151700-100,3647
44660417320150800-100,3647
44660417320150800-100,42171
44660417321150800-100,3647
44660417321150800-100,42171
44660417313150800-100,3647
44660417313150800-100,42171
44660414023150800-100,3647
44660414023150800-100,42171
44660417317150800-100,3647
44660417317150800-100,42171
44660417318150800-100,3647
44660417318150800-100,42171
44660417320150900-100,3647
44660417320150900-100,42171
44660417321150900-100,3647
44660417321150900-100,42171
44660417421150900-100,3647
44660417421150900-100,42171
44660417312150900-100,3647
44660417312150900-100,42171
44660417313150900-100,3647
44660417313150900-100,42171
44660414023150900-100,3647
44660414023150900-100,42171
44660417317150900-100,3647
44660417317150900-100,42171
44660417318150900-100,3647
44660417318150900-100,42171
44660417429150900-100,3647
44660417429150900-100,42171
99N241000100,5196
AHZLN235000100,2944
AHZLN235000100,7782
1L6882190318000100,1279
S21120520100100,8426
s21120520100100,6216
s21120520100100,8426
s21120520100100,4260
s21120520100100,2692
S21040520100100,8426
S21260520100100,6216
S21111520100100,8426
s21111520100100,6216
s21111520100100,4260
S21041520100100,8426
S21041520100100,8656
S19361520100100,8426
S20202520100100,6216
S20202520100100,4260
s20202520100100,4260
S22202520100100,189167
s22202520100100,7928
s22202520100100,4260
S20222520100100,8426
s20222520100100,6216
s20222520100100,2156
s20222520100100,4260
S20142520100100,4260
S21162520100100,6216
S20223520100100,8426
s20223520100100,13207
S21273520100100,1041
S22115520100100,8426
2.00E+13,4260
S20006520100100,6216
S20006520100100,4260
s20006520100100,4260
s21186520100100,6216
s21186520100100,4260
2.00E+13,8426
S21039520100100,8426
s21039520100100,6216
s21039520100100,4260
2.02E+13,4260
S23340525100100,8426
S23321525100100,8426
S23312525100100,8426
S23322525100100,8426
S23342525100100,8426
S24003525100100,8426
S23343525100100,8426
S24004525100100,8426
S23324525100100,2692
S23326525100100,8426
S24117525100100,8426
S23327525100100,8426
S23318525100100,8426
S23328525100100,8426
S23298525100100,8426
S23319525100100,8426
S23339525100100,8426
12j203200100,13620
12j203200100,13591
12j203200100,13992
S24151524200100,3037
S24151524200100,8476
S24152524200100,3037
S24152524200100,8476
S21173524200100,8476
s21173524200100,3037
s21173524200100,5354
S24156524200100,3037
S24156524200100,8476
S21267524200100,3037
S21267524200100,8476
S24158524200100,3037
S24158524200100,8476
D7J242300100,7269
12J203400100,13620
12j203400100,13591
12j203400100,13992
1.92E+13,1956
1.92E+13,3771
1.92E+13,7182
1.60E+13,1956
1.60E+13,3771
1.60E+13,7797
S16033000500100,3771
