P_serialNumber,P_LocatorID,P_invItemId,P_subinventoryCode
S24195524201236,668201,8476,Pick
S24195524201265,668201,8476,Pick
S24195524201524,668201,8476,Pick
S24195524201550,668201,8476,Pick
S24195524201556,668201,8476,Pick
S24195524201557,668201,8476,Pick
S24195524201605,668201,8476,Pick
S24195524201658,668201,8476,Pick
S24195524201779,668201,8476,Pick
S24197524206611,668201,8476,Pick
S24197524206651,668201,8476,Pick
S24197524206669,668201,8476,Pick
S24197524206740,668201,8476,Pick
S24197524206850,668201,8476,Pick
S24197524206896,668201,8476,Pick
S24197524206901,668201,8476,Pick
S24197524206913,668201,8476,Pick
D1J201611040,668216,7269,DECOM OB
D1N202800413,668216,7269,DECOM OB
D1J202403519,668219,6137,DECOM OB
D1N212401629,668219,7269,DECOM OB
S5A2031E41164,668296,6103,Storage
S24193524200991,668197,8476,Pick
S24193524200998,668197,8476,Pick
S24193524201037,668197,8476,Pick
S24193524201046,668197,8476,Pick
S24193524201064,668197,8476,Pick
S24193524201070,668197,8476,Pick
S24194524202749,668197,8476,Pick
S24192524202269,668197,8476,Pick
S24192524202287,668197,8476,Pick
S24192524202374,668197,8476,Pick
S24190524209003,668197,8476,Pick
S24192524201818,668197,8476,Pick
S24192524202105,668197,8476,Pick
S24192524202157,668197,8476,Pick
S24192524202264,668197,8476,Pick
S24192524202265,668197,8476,Pick
S24192524202307,668197,8476,Pick
S24192524202419,668197,8476,Pick
S24192524202455,668197,8476,Pick
S24193524200514,668197,8476,Pick
S24193524200519,668197,8476,Pick
S24193524200528,668197,8476,Pick
S24193524200549,668197,8476,Pick
S24193524200579,668197,8476,Pick
S24193524200593,668197,8476,Pick
S24193524200635,668197,8476,Pick
S24193524200641,668197,8476,Pick
S24193524200671,668197,8476,Pick
S24193524200725,668197,8476,Pick
S24193524200820,668197,8476,Pick
S24190524209630,668196,5354,Pick
S24190524216972,668196,5354,Pick
D1N204401824,668210,7269,DECOM OB
D1J202809631,668210,7269,DECOM OB
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
4.04547E+17,668173,522206,Storage
MXL411369T,668173,179332,Storage
MXL411369V,668173,179332,Storage
MXL41136B0,668173,179332,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.04706E+17,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
4.47393E+16,668312,7281,Storage
D1N203500355,668226,7269,DECOM OB
S24198524201169,668198,8476,Pick
S24193524200551,668198,8476,Pick
S24194524202939,668198,8476,Pick
S24194524203255,668198,8476,Pick
S24195524201112,668198,8476,Pick
S24195524201254,668198,8476,Pick
S24195524201256,668198,8476,Pick
S24195524201308,668198,8476,Pick
S24195524201321,668198,8476,Pick
S24195524201358,668198,8476,Pick
S24195524201403,668198,8476,Pick
S24195524201421,668198,8476,Pick
S24195524201438,668198,8476,Pick
S24195524201446,668198,8476,Pick
S24195524201448,668198,8476,Pick
S24195524201459,668198,8476,Pick
S24195524201536,668198,8476,Pick
S24195524201540,668198,8476,Pick
S24198524200667,668198,8476,Pick
S24198524201055,668198,8476,Pick
S24190524209549,670817,8476,Pick
S24190524209552,670817,8476,Pick
S24198524201045,670817,8476,Pick
S24198524201100,670817,8476,Pick
S24198524201197,670817,8476,Pick
S24198524201309,670817,8476,Pick
S24190524217311,670817,8476,Pick
S24195524201416,670817,8476,Pick
S24198524201312,670817,8476,Pick
S24198524200870,670817,8476,Pick
S24198524200792,670817,8476,Pick
S24198524200833,670817,8476,Pick
S24190524209634,670817,8476,Pick
S24194524203125,670817,8476,Pick
S24194524203289,670817,8476,Pick
S24195524201222,670817,8476,Pick
S24193524201055,670817,8476,Pick
S24193524200511,670817,8476,Pick
S24193524200518,670817,8476,Pick
S24193524201022,670817,8476,Pick
S24198524215407,670817,8476,Pick
S24194524203165,670817,8476,Pick
S24195524201135,670817,8476,Pick
S24197524206951,670817,8476,Pick
S24194524202979,670817,8476,Pick
S24193524200971,670817,8476,Pick
S24194524202942,670817,8476,Pick
S24193524200658,670816,8476,Pick
S24193524200786,670816,8476,Pick
S24193524200831,670816,8476,Pick
S24193524200919,670816,8476,Pick
S24193524201134,670816,8476,Pick
S24190524209649,670816,8476,Pick
S24190524217053,670816,8476,Pick
S24190524217343,670816,8476,Pick
S24192524201812,670816,8476,Pick
S24192524202036,670816,8476,Pick
S24192524202062,670816,8476,Pick
S24192524202133,670816,8476,Pick
S24192524202136,670816,8476,Pick
S24192524202303,670816,8476,Pick
S24192524202314,670816,8476,Pick
S24192524202320,670816,8476,Pick
S24192524202331,670816,8476,Pick
S24192524202414,670816,8476,Pick
S24192524202424,670816,8476,Pick
S24192524202475,670816,8476,Pick
S24192524201849,670816,8476,Pick
S24187524202278,670816,8476,Pick
S24190524209412,670816,8476,Pick
S24192524202235,670816,8476,Pick
S24192524202344,670816,8476,Pick
S24192524202372,670816,8476,Pick
S24192524202390,670816,8476,Pick
S24192524202392,670816,8476,Pick
S24193524200574,670816,8476,Pick
S24193524200659,670816,8476,Pick
S24187524202032,670801,8476,Pick
S24187524213098,670801,8476,Pick
S24192524202064,670801,8476,Pick
S24192524202104,670801,8476,Pick
S24192524202299,670801,8476,Pick
S24192524202310,670801,8476,Pick
S24192524202342,670801,8476,Pick
S24192524202348,670801,8476,Pick
S24192524202353,670801,8476,Pick
